"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
323,11002,44687.54,59257.25,202.90,2304,404,0,15.62
324,11476,44698.21,59260.38,171.55,1327,415,0,19.37
325,11637,44697.06,59257.49,167.07,1264,420,0,19.53
326,11644,44727.79,59262.44,177.16,1695,406,0,16.35
327,11812,44712.59,59266.18,194.63,1409,413,0,23.10
328,11813,44712.59,59266.18,194.63,1409,413,0,23.10
329,11966,44732.41,59251.68,179.18,1683,407,0,16.62
330,12218,44710.79,59257.05,207.74,1686,409,0,21.99
331,13003,44701.15,59246.00,156.91,1398,413,0,15.72
332,13098,44743.53,59258.05,217.85,2578,407,0,16.54
333,13129,44711.88,59261.54,177.91,1455,420,0,19.07
334,13174,44705.02,59249.30,191.44,2141,407,0,14.98
335,13599,44681.34,59262.06,212.80,2000,406,0,19.59
336,13600,44681.34,59262.06,212.80,2000,406,0,19.59
337,14183,44670.81,59261.52,207.52,2191,409,0,17.19
338,14281,44694.39,59254.03,224.54,1682,418,0,26.04
339,14282,44694.39,59254.03,224.54,1682,418,0,26.04
340,14577,44719.37,59260.50,202.18,2286,408,0,16.03
341,16153,44692.90,59266.35,210.14,2106,396,0,17.97
342,16274,44703.13,59260.29,172.87,1158,423,0,22.55
343,16415,44672.63,59241.76,155.35,1227,417,0,17.49
344,16821,44709.86,59263.73,215.06,1847,408,0,21.56
345,16822,44709.86,59263.73,215.06,1847,408,0,21.56
346,17583,44674.65,59249.67,187.85,1943,408,0,16.10
347,17584,44674.65,59249.67,187.85,1943,408,0,16.10
348,17798,44684.06,59244.95,225.37,2700,399,0,16.94
349,17842,44719.18,59256.67,168.89,1324,423,0,19.02
350,18969,44692.21,59239.86,219.08,2250,404,0,18.95
351,18970,44692.21,59239.86,219.08,2250,404,0,18.95
352,20297,44707.12,59226.33,213.83,2213,403,0,17.92
353,20658,44678.21,59265.81,177.03,1527,424,0,18.47
354,20884,44739.60,59264.29,160.90,1546,412,0,14.99
355,20885,44739.60,59264.29,160.90,1546,412,0,14.99
356,21833,44709.00,59262.31,243.53,3427,383,0,15.09
357,21834,44709.00,59262.31,243.53,3427,383,0,15.09
358,22818,44675.85,59244.61,166.39,1246,421,0,19.68
359,22898,44715.77,59250.62,166.02,1191,420,0,20.33
360,22920,44701.45,59263.14,216.81,1956,407,0,20.73
361,22925,44690.15,59254.95,181.37,1359,416,0,21.00
362,23164,44711.42,59259.87,183.42,1577,406,0,18.41
363,23354,44676.72,59263.55,217.99,1958,413,0,21.25
364,23849,44735.75,59255.50,177.89,1337,413,0,20.51
365,23850,44735.75,59255.50,177.89,1337,413,0,20.51
366,24119,44723.35,59227.64,203.74,1535,412,0,23.26
367,24445,44670.06,59260.37,159.93,1375,413,0,16.56
